timestamp,delay_x,delay_y,rms0,rms1,rms2,rms3,label
2026-08-01 22:41:11,-3,2,634.9,317.0,313.7,448.6,left
2026-08-01 22:41:11,-3,1,1116.0,500.2,486.2,772.1,left
2026-08-01 22:41:12,-3,2,1943.3,814.9,810.8,1266.3,left
2026-08-01 22:41:12,-3,2,2408.3,916.7,1029.0,1541.1,left
2026-08-01 22:41:13,-2,1,672.7,432.1,403.8,529.0,left
2026-08-01 22:41:13,-3,2,1057.2,501.1,503.3,646.5,left
2026-08-01 22:41:14,-3,2,803.9,430.3,406.6,605.9,left
2026-08-01 22:41:14,-3,2,2136.3,900.6,856.1,1327.1,left
2026-08-01 22:41:15,-3,2,1319.4,558.4,648.8,903.4,left
2026-08-01 22:41:15,-3,2,1557.7,759.8,702.1,1088.7,left
2026-08-01 22:41:16,-3,2,3401.8,1415.8,1342.1,2410.6,left
2026-08-01 22:41:16,-3,2,2519.9,1136.9,1024.3,1631.7,left
2026-08-01 22:41:17,-3,2,1164.4,517.2,562.9,872.6,left
2026-08-01 22:41:17,-3,2,4295.6,1764.0,1535.9,2742.2,left
2026-08-01 22:41:18,-3,2,848.1,489.9,448.8,670.8,left
2026-08-01 22:41:18,-3,2,1310.3,622.3,551.2,837.7,left
2026-08-01 22:41:19,-3,2,1819.8,860.7,765.8,1308.8,left
2026-08-01 22:41:19,-3,2,841.3,438.8,533.1,735.0,left
2026-08-01 22:41:20,-3,2,3201.7,1210.0,1390.5,2123.8,left
2026-08-01 22:41:20,-3,2,1793.9,725.5,678.0,1070.0,left
2026-08-01 22:41:21,-3,2,909.8,409.3,398.2,591.0,left
2026-08-01 22:41:21,-3,1,599.0,417.8,392.0,517.5,left
2026-08-01 22:41:22,-2,2,1135.9,760.0,881.7,1416.5,left
2026-08-01 22:41:23,-2,2,1461.4,1025.6,1317.6,1764.2,left
2026-08-01 22:41:23,-3,3,546.0,397.2,406.7,533.4,left
2026-08-01 22:41:24,-3,2,551.0,396.3,443.7,591.4,left
2026-08-01 22:41:24,-3,2,694.6,418.1,519.4,646.7,left
2026-08-01 22:41:25,-3,2,799.1,629.6,621.4,755.4,left
2026-08-01 22:41:26,-3,2,377.2,287.2,333.1,386.6,left
2026-08-01 22:41:26,-3,2,660.6,541.6,613.2,680.3,left
2026-08-01 22:41:27,-2,3,1429.4,795.7,1020.2,1217.7,left
2026-08-01 22:41:27,-2,3,1204.0,743.7,888.5,1247.2,left
2026-08-01 22:41:28,-2,3,1283.4,1028.9,1110.5,1444.7,left
2026-08-01 22:41:28,-3,2,617.6,396.9,432.9,645.7,left
2026-08-01 22:41:29,-3,2,1318.2,988.1,1078.8,1530.1,left
2026-08-01 22:41:29,-3,2,567.6,420.3,476.3,676.2,left
2026-08-01 22:41:30,-3,2,786.6,631.6,678.0,969.7,left
2026-08-01 22:41:30,-3,2,1547.4,1024.0,1133.5,1703.8,left
2026-08-01 22:41:31,-2,2,1077.6,736.8,855.6,1139.1,left
2026-08-01 22:41:31,-3,2,827.6,553.3,598.0,843.1,left
2026-08-01 22:41:32,-3,2,1377.4,876.2,901.1,1412.3,left
2026-08-01 22:41:32,-3,2,928.7,545.1,572.3,861.1,left
2026-08-01 22:41:33,-3,2,548.6,350.7,349.1,502.0,left
2026-08-01 22:42:58,3,-2,907.6,1614.6,1916.4,993.4,right
2026-08-01 22:42:58,3,-2,333.0,571.7,661.4,367.2,right
2026-08-01 22:42:59,3,-2,425.3,662.2,765.2,477.3,right
2026-08-01 22:43:00,3,-2,580.8,1118.1,1215.0,635.7,right
2026-08-01 22:43:00,3,-2,1005.6,1869.4,1915.6,1114.3,right
2026-08-01 22:43:01,3,-2,1257.8,2023.3,2160.3,1275.4,right
2026-08-01 22:43:01,3,-2,539.2,944.7,1090.3,606.4,right
2026-08-01 22:43:02,3,-2,1726.1,2634.4,3078.4,1891.4,right
2026-08-01 22:43:02,3,-2,859.4,1325.1,1478.0,942.6,right
2026-08-01 22:43:03,3,-2,1664.2,2871.3,3119.6,1721.1,right
2026-08-01 22:43:03,3,-2,689.3,1279.8,1319.5,785.8,right
2026-08-01 22:43:04,2,-2,1174.3,2021.3,2129.2,1245.8,right
2026-08-01 22:43:04,3,-2,1250.8,2051.1,2204.4,1309.6,right
2026-08-01 22:43:05,2,-2,731.2,1302.5,1160.2,710.1,right
2026-08-01 22:43:05,3,-3,575.6,917.8,750.1,605.7,right
2026-08-01 22:43:06,3,-3,495.0,819.7,693.0,525.9,right
2026-08-01 22:43:07,3,-3,906.9,1201.8,1114.2,938.7,right
2026-08-01 22:43:07,3,-2,1276.4,2299.2,2121.5,1578.3,right
2026-08-01 22:43:08,3,-2,1623.4,3116.1,3772.4,1851.3,right
2026-08-01 22:43:08,3,-2,821.9,1245.0,1371.3,833.6,right
2026-08-01 22:43:09,3,-2,932.9,1416.5,1356.9,1029.4,right
2026-08-01 22:43:09,3,-2,580.4,879.9,767.7,627.2,right
2026-08-01 22:43:10,3,-2,381.1,655.4,623.1,452.4,right
2026-08-01 22:43:10,3,-2,912.9,1614.8,1598.7,1081.7,right
2026-08-01 22:43:11,2,-2,1511.9,2856.3,2657.9,1638.5,right
2026-08-01 22:43:11,3,-2,1277.0,1857.3,2152.8,1355.8,right
2026-08-01 22:43:12,3,-2,1018.8,1603.7,1796.1,1166.2,right
2026-08-01 22:43:12,3,-2,591.9,823.4,858.0,620.4,right
2026-08-01 22:43:13,3,-2,1071.5,1681.6,1607.8,1128.8,right
2026-08-01 22:43:13,3,-2,851.7,1189.7,1313.1,1002.4,right
2026-08-01 22:43:14,3,-2,409.5,582.9,653.0,460.2,right
2026-08-01 22:43:14,3,-2,878.8,1166.7,1222.5,937.6,right
2026-08-01 22:43:15,3,-2,747.5,1208.4,1596.1,856.1,right
2026-08-01 22:43:15,3,-2,1114.1,2102.0,2774.6,1552.5,right
2026-08-01 22:43:16,3,-2,855.2,1432.6,1831.5,955.0,right
2026-08-01 22:43:16,3,-2,937.3,1608.5,2067.6,1037.5,right
2026-08-01 22:43:17,3,-2,769.8,1267.7,1575.4,835.6,right
2026-08-01 22:43:17,3,-2,1901.3,2913.2,3838.3,2007.5,right
2026-08-01 22:43:18,3,-2,1652.2,2822.1,3423.5,1767.7,right
2026-08-01 22:43:18,3,-2,2220.4,3275.1,4031.4,2297.2,right
2026-08-01 22:43:19,3,-2,2568.6,4696.6,5266.8,2665.3,right
2026-08-01 22:43:19,3,-2,1267.4,2068.7,2593.0,1329.1,right
2026-08-01 22:43:20,3,-2,1481.8,2692.0,2984.4,1486.2,right
2026-08-01 22:45:42,-2,-3,5275.7,6232.0,3858.2,3856.5,front
