timestamp,delay_x,delay_y,label
2026-07-10 17:55:35,-3,2,left
2026-07-10 17:55:35,-3,2,left
2026-07-10 17:55:36,-3,2,left
2026-07-10 17:55:36,-3,2,left
2026-07-10 17:55:37,-3,2,left
2026-07-10 17:55:37,-3,2,left
2026-07-10 17:55:38,-3,2,left
2026-07-10 17:55:38,-3,2,left
2026-07-10 17:55:39,-3,2,left
2026-07-10 17:55:39,-3,2,left
2026-07-10 17:55:40,-3,2,left
2026-07-10 17:55:40,-3,2,left
2026-07-10 17:55:41,-3,2,left
2026-07-10 17:55:41,-3,2,left
2026-07-10 17:55:42,-3,2,left
2026-07-10 17:55:42,-3,2,left
2026-07-10 17:55:43,-3,2,left
2026-07-10 17:55:43,-3,2,left
2026-07-10 17:55:44,-3,2,left
2026-07-10 17:55:44,-3,2,left
2026-07-10 17:55:45,-3,2,left
2026-07-10 17:55:45,-3,2,left
2026-07-10 17:55:46,-3,3,left
2026-07-10 17:55:46,-3,2,left
2026-07-10 17:55:47,-3,3,left
2026-07-10 17:55:47,-3,2,left
2026-07-10 17:55:48,-3,3,left
2026-07-10 17:55:48,-3,3,left
2026-07-10 17:55:49,-3,2,left
2026-07-10 17:55:49,-3,2,left
2026-07-10 17:55:50,-3,2,left
2026-07-10 17:55:50,-3,2,left
2026-07-10 17:55:51,-3,2,left
2026-07-10 17:55:51,-3,2,left
2026-07-10 17:55:52,-3,2,left
2026-07-10 17:55:52,-3,2,left
2026-07-10 17:56:30,3,-2,right
2026-07-10 17:56:30,3,-2,right
2026-07-10 17:56:31,3,-10,right
2026-07-10 17:56:34,2,-2,right
2026-07-10 17:56:38,3,-3,right
2026-07-10 17:56:40,3,-2,right
2026-07-10 17:56:40,3,-3,right
2026-07-10 17:56:41,3,-2,right
2026-07-10 17:56:42,3,-2,right
2026-07-10 17:56:43,5,-10,right
2026-07-10 17:56:44,2,-2,right
2026-07-10 17:56:45,3,-2,right
2026-07-10 17:56:45,3,-2,right
2026-07-10 17:56:46,3,-2,right
2026-07-10 17:56:47,3,-2,right
2026-07-10 17:56:48,3,-2,right
2026-07-10 17:56:49,3,-2,right
2026-07-10 17:56:49,3,-2,right
2026-07-10 17:56:51,3,-2,right
2026-07-10 17:56:51,3,-2,right
2026-07-10 17:56:52,3,-2,right
2026-07-10 17:56:54,3,-2,right
2026-07-10 17:56:54,3,-2,right
2026-07-10 17:56:55,3,-2,right
2026-07-10 17:56:56,3,-2,right
